work_order_id,product_sku,factory_id,planned_quantity,completed_quantity,start_date,end_date,status,priority
WO-2025-000100,FG-AUTOSYS-055,FAC-EU-01,1000,1000,2025-12-18,2025-12-26,COMPLETED,HIGH
WO-2025-000101,FG-AUTOSYS-076,FAC-MX-01,100,100,2025-11-28,2025-12-12,COMPLETED,HIGH
WO-2025-000102,FG-AUTOSYS-026,FAC-MX-01,50,50,2026-01-24,2026-02-07,COMPLETED,HIGH
WO-2025-000103,FG-AUTOSYS-052,FAC-MX-01,100,100,2026-01-25,2026-02-04,COMPLETED,STANDARD
WO-2025-000104,FG-AUTOSYS-019,FAC-US-01,1000,1000,2025-11-05,2025-11-09,COMPLETED,CRITICAL
WO-2025-000105,FG-AUTOSYS-014,FAC-US-01,100,100,2025-07-31,2025-08-05,COMPLETED,CRITICAL
WO-2025-000106,FG-AUTOSYS-020,FAC-EU-01,50,50,2025-12-01,2025-12-13,COMPLETED,STANDARD
WO-2025-000107,FG-AUTOSYS-055,FAC-APAC-01,100,100,2025-01-31,2025-02-14,COMPLETED,HIGH
WO-2025-000108,FG-AUTOSYS-018,FAC-APAC-01,1000,1000,2025-12-10,2025-12-18,COMPLETED,HIGH
WO-2025-000109,FG-AUTOSYS-016,FAC-US-01,50,50,2025-07-26,2025-08-03,COMPLETED,STANDARD
WO-2025-000110,FG-AUTOSYS-098,FAC-MX-01,50,50,2026-01-12,2026-01-16,COMPLETED,STANDARD
WO-2025-000111,FG-AUTOSYS-034,FAC-APAC-01,500,0,2026-04-27,2026-05-02,PLANNED,HIGH
WO-2025-000112,FG-AUTOSYS-099,FAC-APAC-01,1000,1000,2025-05-17,2025-05-25,COMPLETED,CRITICAL
WO-2025-000113,FG-AUTOSYS-080,FAC-MX-01,1000,1000,2025-04-19,2025-04-30,COMPLETED,HIGH
WO-2025-000114,FG-AUTOSYS-053,FAC-EU-01,50,50,2025-10-17,2025-10-22,COMPLETED,CRITICAL
WO-2025-000115,FG-AUTOSYS-099,FAC-EU-01,50,50,2025-09-28,2025-10-08,COMPLETED,HIGH
WO-2025-000116,FG-AUTOSYS-006,FAC-APAC-01,250,250,2025-09-24,2025-10-07,COMPLETED,CRITICAL
WO-2025-000117,FG-AUTOSYS-059,FAC-APAC-01,100,100,2026-03-16,2026-03-23,COMPLETED,HIGH
WO-2025-000118,FG-AUTOSYS-004,FAC-MX-01,1000,0,2026-05-27,2026-06-01,PLANNED,STANDARD
WO-2025-000119,FG-AUTOSYS-045,FAC-EU-01,50,50,2025-11-12,2025-11-22,COMPLETED,STANDARD
WO-2025-000120,FG-AUTOSYS-067,FAC-APAC-01,100,41,2026-04-15,2026-04-28,IN_PROGRESS,STANDARD
WO-2025-000121,FG-AUTOSYS-054,FAC-EU-01,1000,1000,2025-06-27,2025-07-06,COMPLETED,CRITICAL
WO-2025-000122,FG-AUTOSYS-041,FAC-APAC-01,100,100,2026-01-28,2026-02-05,COMPLETED,HIGH
WO-2025-000123,FG-AUTOSYS-044,FAC-US-01,500,500,2025-03-08,2025-03-12,COMPLETED,HIGH
WO-2025-000124,FG-AUTOSYS-048,FAC-EU-01,50,50,2025-03-11,2025-03-22,COMPLETED,STANDARD
WO-2025-000125,FG-AUTOSYS-050,FAC-EU-01,500,500,2025-03-01,2025-03-07,COMPLETED,CRITICAL
WO-2025-000126,FG-AUTOSYS-014,FAC-US-01,100,100,2025-05-20,2025-06-02,COMPLETED,CRITICAL
WO-2025-000127,FG-AUTOSYS-089,FAC-EU-01,100,0,2026-05-24,2026-06-03,BLOCKED_SHORTAGE,STANDARD
WO-2025-000128,FG-AUTOSYS-066,FAC-MX-01,1000,0,2026-04-28,2026-05-10,PLANNED,STANDARD
WO-2025-000129,FG-AUTOSYS-010,FAC-MX-01,250,250,2025-08-09,2025-08-20,COMPLETED,STANDARD
WO-2025-000130,FG-AUTOSYS-044,FAC-EU-01,250,250,2026-03-12,2026-03-24,COMPLETED,CRITICAL
WO-2025-000131,FG-AUTOSYS-015,FAC-APAC-01,1000,1000,2025-03-12,2025-03-25,COMPLETED,HIGH
WO-2025-000132,FG-AUTOSYS-074,FAC-EU-01,250,250,2025-05-19,2025-05-30,COMPLETED,HIGH
WO-2025-000133,FG-AUTOSYS-060,FAC-MX-01,250,250,2026-04-02,2026-04-12,COMPLETED,CRITICAL
WO-2025-000134,FG-AUTOSYS-041,FAC-EU-01,250,250,2025-11-21,2025-11-24,COMPLETED,HIGH
WO-2025-000135,FG-AUTOSYS-084,FAC-MX-01,250,250,2025-09-12,2025-09-15,COMPLETED,CRITICAL
WO-2025-000136,FG-AUTOSYS-036,FAC-APAC-01,500,500,2025-11-07,2025-11-18,COMPLETED,CRITICAL
WO-2025-000137,FG-AUTOSYS-009,FAC-US-01,1000,1000,2025-02-18,2025-02-23,COMPLETED,CRITICAL
WO-2025-000138,FG-AUTOSYS-028,FAC-EU-01,250,250,2025-07-11,2025-07-15,COMPLETED,STANDARD
WO-2025-000139,FG-AUTOSYS-056,FAC-US-01,250,250,2025-04-06,2025-04-20,COMPLETED,HIGH
WO-2025-000140,FG-AUTOSYS-075,FAC-US-01,1000,1000,2026-03-13,2026-03-18,COMPLETED,STANDARD
WO-2025-000141,FG-AUTOSYS-058,FAC-APAC-01,250,250,2025-11-11,2025-11-16,COMPLETED,CRITICAL
WO-2025-000142,FG-AUTOSYS-089,FAC-APAC-01,50,50,2026-01-29,2026-02-11,COMPLETED,CRITICAL
WO-2025-000143,FG-AUTOSYS-037,FAC-US-01,100,100,2025-05-04,2025-05-09,COMPLETED,CRITICAL
WO-2025-000144,FG-AUTOSYS-028,FAC-MX-01,100,100,2026-03-12,2026-03-15,COMPLETED,HIGH
WO-2025-000145,FG-AUTOSYS-073,FAC-EU-01,250,250,2025-05-23,2025-06-01,COMPLETED,STANDARD
WO-2025-000146,FG-AUTOSYS-035,FAC-US-01,50,50,2025-10-02,2025-10-11,COMPLETED,STANDARD
WO-2025-000147,FG-AUTOSYS-078,FAC-US-01,50,50,2025-04-25,2025-05-09,COMPLETED,STANDARD
WO-2025-000148,FG-AUTOSYS-029,FAC-US-01,250,250,2025-06-25,2025-07-08,COMPLETED,STANDARD
WO-2025-000149,FG-AUTOSYS-008,FAC-US-01,100,0,2026-04-18,2026-05-01,PLANNED,STANDARD
WO-2025-000150,FG-AUTOSYS-085,FAC-EU-01,250,250,2026-01-31,2026-02-06,COMPLETED,CRITICAL
WO-2025-000151,FG-AUTOSYS-061,FAC-US-01,50,50,2026-01-10,2026-01-21,COMPLETED,STANDARD
WO-2025-000152,FG-AUTOSYS-028,FAC-US-01,100,100,2025-08-20,2025-08-23,COMPLETED,STANDARD
WO-2025-000153,FG-AUTOSYS-081,FAC-MX-01,50,50,2026-01-27,2026-02-09,COMPLETED,CRITICAL
WO-2025-000154,FG-AUTOSYS-052,FAC-US-01,250,250,2025-04-19,2025-04-24,COMPLETED,HIGH
WO-2025-000155,FG-AUTOSYS-013,FAC-US-01,100,100,2025-04-23,2025-04-28,COMPLETED,CRITICAL
WO-2025-000156,FG-AUTOSYS-068,FAC-APAC-01,100,100,2026-03-25,2026-04-02,COMPLETED,HIGH
WO-2025-000157,FG-AUTOSYS-093,FAC-US-01,1000,1000,2025-03-02,2025-03-09,COMPLETED,STANDARD
WO-2025-000158,FG-AUTOSYS-048,FAC-MX-01,50,50,2025-07-11,2025-07-21,COMPLETED,HIGH
WO-2025-000159,FG-AUTOSYS-031,FAC-APAC-01,1000,1000,2025-11-29,2025-12-05,COMPLETED,STANDARD
WO-2025-000160,FG-AUTOSYS-055,FAC-US-01,500,500,2025-02-11,2025-02-22,COMPLETED,CRITICAL
WO-2025-000161,FG-AUTOSYS-007,FAC-MX-01,1000,0,2026-05-26,2026-06-05,PLANNED,STANDARD
WO-2025-000162,FG-AUTOSYS-091,FAC-MX-01,250,250,2025-07-03,2025-07-06,COMPLETED,CRITICAL
WO-2025-000163,FG-AUTOSYS-040,FAC-US-01,50,50,2026-03-03,2026-03-09,COMPLETED,HIGH
WO-2025-000164,FG-AUTOSYS-082,FAC-MX-01,1000,1000,2026-02-15,2026-02-18,COMPLETED,HIGH
WO-2025-000165,FG-AUTOSYS-073,FAC-US-01,1000,1000,2025-06-29,2025-07-09,COMPLETED,HIGH
WO-2025-000166,FG-AUTOSYS-060,FAC-EU-01,250,250,2025-12-23,2026-01-06,COMPLETED,STANDARD
WO-2025-000167,FG-AUTOSYS-014,FAC-US-01,50,50,2026-03-01,2026-03-09,COMPLETED,HIGH
WO-2025-000168,FG-AUTOSYS-066,FAC-APAC-01,250,250,2026-02-16,2026-02-24,COMPLETED,STANDARD
WO-2025-000169,FG-AUTOSYS-014,FAC-MX-01,500,500,2025-12-20,2025-12-31,COMPLETED,HIGH
WO-2025-000170,FG-AUTOSYS-008,FAC-MX-01,1000,1000,2025-04-20,2025-05-01,COMPLETED,CRITICAL
WO-2025-000171,FG-AUTOSYS-053,FAC-MX-01,50,50,2026-03-09,2026-03-13,COMPLETED,STANDARD
WO-2025-000172,FG-AUTOSYS-094,FAC-MX-01,500,500,2025-07-07,2025-07-12,COMPLETED,STANDARD
WO-2025-000173,FG-AUTOSYS-007,FAC-US-01,50,50,2025-12-07,2025-12-19,COMPLETED,CRITICAL
WO-2025-000174,FG-AUTOSYS-019,FAC-MX-01,250,0,2026-05-24,2026-06-01,PLANNED,CRITICAL
WO-2025-000175,FG-AUTOSYS-033,FAC-US-01,250,250,2025-08-27,2025-09-09,COMPLETED,HIGH
WO-2025-000176,FG-AUTOSYS-017,FAC-US-01,1000,1000,2025-09-11,2025-09-19,COMPLETED,STANDARD
WO-2025-000177,FG-AUTOSYS-055,FAC-US-01,1000,1000,2025-04-19,2025-04-24,COMPLETED,CRITICAL
WO-2025-000178,FG-AUTOSYS-066,FAC-EU-01,1000,1000,2025-11-27,2025-12-07,COMPLETED,STANDARD
WO-2025-000179,FG-AUTOSYS-033,FAC-APAC-01,1000,1000,2026-02-21,2026-02-27,COMPLETED,STANDARD
WO-2025-000180,FG-AUTOSYS-048,FAC-EU-01,500,500,2025-11-19,2025-11-29,COMPLETED,STANDARD
WO-2025-000181,FG-AUTOSYS-022,FAC-EU-01,500,500,2025-12-15,2025-12-24,COMPLETED,HIGH
WO-2025-000182,FG-AUTOSYS-009,FAC-EU-01,1000,1000,2025-09-02,2025-09-06,COMPLETED,STANDARD
WO-2025-000183,FG-AUTOSYS-044,FAC-MX-01,250,250,2025-07-11,2025-07-23,COMPLETED,STANDARD
WO-2025-000184,FG-AUTOSYS-094,FAC-EU-01,500,500,2025-07-05,2025-07-17,COMPLETED,CRITICAL
WO-2025-000185,FG-AUTOSYS-087,FAC-MX-01,100,100,2025-06-10,2025-06-24,COMPLETED,CRITICAL
WO-2025-000186,FG-AUTOSYS-014,FAC-APAC-01,1000,1000,2025-01-22,2025-01-29,COMPLETED,HIGH
WO-2025-000187,FG-AUTOSYS-031,FAC-MX-01,250,174,2026-04-13,2026-04-22,IN_PROGRESS,HIGH
WO-2025-000188,FG-AUTOSYS-015,FAC-EU-01,500,500,2025-01-24,2025-01-27,COMPLETED,STANDARD
WO-2025-000189,FG-AUTOSYS-070,FAC-APAC-01,500,0,2026-04-16,2026-04-22,PLANNED,HIGH
WO-2025-000190,FG-AUTOSYS-036,FAC-US-01,500,500,2025-01-30,2025-02-06,COMPLETED,HIGH
WO-2025-000191,FG-AUTOSYS-051,FAC-EU-01,250,250,2025-07-12,2025-07-18,COMPLETED,STANDARD
WO-2025-000192,FG-AUTOSYS-019,FAC-MX-01,250,250,2025-10-27,2025-11-08,COMPLETED,HIGH
WO-2025-000193,FG-AUTOSYS-094,FAC-EU-01,250,250,2026-01-23,2026-01-27,COMPLETED,STANDARD
WO-2025-000194,FG-AUTOSYS-071,FAC-APAC-01,50,50,2025-11-26,2025-12-09,COMPLETED,STANDARD
WO-2025-000195,FG-AUTOSYS-099,FAC-US-01,50,50,2026-02-07,2026-02-14,COMPLETED,HIGH
WO-2025-000196,FG-AUTOSYS-072,FAC-MX-01,100,100,2025-02-09,2025-02-13,COMPLETED,STANDARD
WO-2025-000197,FG-AUTOSYS-045,FAC-US-01,250,250,2025-08-25,2025-09-08,COMPLETED,STANDARD
WO-2025-000198,FG-AUTOSYS-056,FAC-APAC-01,250,250,2025-06-19,2025-06-24,COMPLETED,HIGH
WO-2025-000199,FG-AUTOSYS-063,FAC-APAC-01,50,50,2026-01-06,2026-01-16,COMPLETED,STANDARD
WO-2025-000200,FG-AUTOSYS-068,FAC-APAC-01,1000,1000,2025-01-16,2025-01-21,COMPLETED,STANDARD
WO-2025-000201,FG-AUTOSYS-046,FAC-MX-01,100,100,2025-03-04,2025-03-18,COMPLETED,CRITICAL
WO-2025-000202,FG-AUTOSYS-039,FAC-US-01,50,50,2026-01-21,2026-01-28,COMPLETED,HIGH
WO-2025-000203,FG-AUTOSYS-004,FAC-US-01,250,250,2026-02-25,2026-03-10,COMPLETED,HIGH
WO-2025-000204,FG-AUTOSYS-070,FAC-EU-01,250,250,2025-08-17,2025-08-26,COMPLETED,STANDARD
WO-2025-000205,FG-AUTOSYS-061,FAC-APAC-01,50,0,2026-04-25,2026-05-07,PLANNED,STANDARD
WO-2025-000206,FG-AUTOSYS-056,FAC-US-01,100,0,2026-05-12,2026-05-18,PLANNED,STANDARD
WO-2025-000207,FG-AUTOSYS-039,FAC-US-01,250,250,2025-11-22,2025-12-02,COMPLETED,STANDARD
WO-2025-000208,FG-AUTOSYS-055,FAC-EU-01,100,100,2025-02-13,2025-02-21,COMPLETED,CRITICAL
WO-2025-000209,FG-AUTOSYS-074,FAC-US-01,250,0,2026-05-09,2026-05-17,PLANNED,HIGH
WO-2025-000210,FG-AUTOSYS-028,FAC-MX-01,500,500,2025-02-25,2025-03-03,COMPLETED,HIGH
WO-2025-000211,FG-AUTOSYS-015,FAC-EU-01,1000,1000,2025-09-13,2025-09-17,COMPLETED,CRITICAL
WO-2025-000212,FG-AUTOSYS-043,FAC-APAC-01,1000,1000,2025-09-18,2025-09-26,COMPLETED,STANDARD
WO-2025-000213,FG-AUTOSYS-075,FAC-APAC-01,1000,1000,2025-05-29,2025-06-08,COMPLETED,CRITICAL
WO-2025-000214,FG-AUTOSYS-045,FAC-MX-01,100,100,2026-03-24,2026-03-29,COMPLETED,STANDARD
WO-2025-000215,FG-AUTOSYS-087,FAC-US-01,1000,1000,2025-02-20,2025-03-05,COMPLETED,HIGH
WO-2025-000216,FG-AUTOSYS-035,FAC-MX-01,1000,1000,2025-01-17,2025-01-29,COMPLETED,HIGH
WO-2025-000217,FG-AUTOSYS-018,FAC-APAC-01,1000,1000,2025-02-05,2025-02-12,COMPLETED,HIGH
WO-2025-000218,FG-AUTOSYS-069,FAC-EU-01,1000,1000,2025-06-25,2025-07-04,COMPLETED,HIGH
WO-2025-000219,FG-AUTOSYS-001,FAC-US-01,1000,1000,2025-08-03,2025-08-09,COMPLETED,CRITICAL
WO-2025-000220,FG-AUTOSYS-016,FAC-EU-01,1000,1000,2026-03-27,2026-04-06,COMPLETED,STANDARD
WO-2025-000221,FG-AUTOSYS-046,FAC-EU-01,1000,1000,2026-01-16,2026-01-20,COMPLETED,STANDARD
WO-2025-000222,FG-AUTOSYS-081,FAC-EU-01,100,100,2025-07-22,2025-07-29,COMPLETED,HIGH
