material_id,sku,name,category,unit_of_measure,standard_cost,current_unit_price,safety_stock_level,reorder_point,target_stock_level,min_order_qty,lead_time_days,is_critical,primary_supplier_id,secondary_supplier_id,created_at
MAT-00060,SKU-RAW-00060,Sheet Metal Stainless 304 Grade-Industrial-060,Raw Metallurgy,METER,71.74,78.27,896,2810,6034,1000,29,False,SUP-0063,SUP-0041,2025-01-01T00:00:00
MAT-00061,SKU-RAW-00061,Carbon Steel Bars Grade-A-061,Raw Metallurgy,SET,14.48,15.72,303,1087,1771,1000,16,False,SUP-0051,SUP-0105,2025-01-01T00:00:00
MAT-00062,SKU-ELE-00062,Sensors Grade-MilSpec-062,Electronic Components,BOX,20.0,20.03,1015,2767,5414,50,24,False,SUP-0026,SUP-0106,2025-01-01T00:00:00
MAT-00063,SKU-ELE-00063,Connectors Grade-Commercial-063,Electronic Components,KG,7.26,7.25,112,452,752,250,10,False,SUP-0068,SUP-0029,2025-01-01T00:00:00
MAT-00064,SKU-ELE-00064,Capacitors Grade-A-064,Electronic Components,SET,6.58,7.54,1190,3595,7207,100,37,False,SUP-0084,SUP-0120,2025-01-01T00:00:00
MAT-00065,SKU-RAW-00065,Carbon Steel Bars Grade-A-065,Raw Metallurgy,PCS,59.97,64.8,68,230,476,25,18,False,SUP-0095,SUP-0093,2025-01-01T00:00:00
MAT-00066,SKU-POL-00066,Industrial Lubricants Grade-B-066,Polymers & Chemical,BOX,109.06,124.59,73,229,340,100,26,False,SUP-0113,SUP-0005,2025-01-01T00:00:00
MAT-00067,SKU-RAW-00067,Copper Rods Grade-Commercial-067,Raw Metallurgy,SET,22.66,23.77,549,2085,3106,50,24,False,SUP-0109,SUP-0065,2025-01-01T00:00:00
MAT-00068,SKU-POL-00068,Silicone Gaskets Grade-B-068,Polymers & Chemical,PCS,73.99,81.19,252,774,1479,250,18,False,SUP-0073,SUP-0087,2025-01-01T00:00:00
MAT-00069,SKU-POL-00069,Epoxy Adhesives Grade-Industrial-069,Polymers & Chemical,PCS,36.52,37.62,95,347,551,100,7,True,SUP-0062,SUP-0042,2025-01-01T00:00:00
MAT-00070,SKU-RAW-00070,Carbon Steel Bars Grade-Commercial-070,Raw Metallurgy,BOX,12.07,12.85,175,525,930,50,10,False,SUP-0047,SUP-0089,2025-01-01T00:00:00
MAT-00071,SKU-POL-00071,Epoxy Adhesives Grade-Industrial-071,Polymers & Chemical,BOX,36.51,35.54,406,1099,1959,250,21,False,SUP-0038,SUP-0048,2025-01-01T00:00:00
MAT-00072,SKU-PAC-00072,Vibration Dampers Grade-MilSpec-072,Packaging & Hardware,BOX,133.2,141.17,354,1058,1985,25,22,False,SUP-0069,SUP-0103,2025-01-01T00:00:00
MAT-00073,SKU-PAC-00073,Antistatic Foam Grade-Commercial-073,Packaging & Hardware,BOX,23.58,24.11,1054,3979,7278,50,39,False,SUP-0015,SUP-0008,2025-01-01T00:00:00
MAT-00074,SKU-RAW-00074,Titanium Plates Grade-MilSpec-074,Raw Metallurgy,PCS,137.15,148.95,1329,3779,6661,500,35,False,SUP-0063,SUP-0012,2025-01-01T00:00:00
MAT-00075,SKU-POL-00075,Industrial Lubricants Grade-Commercial-075,Polymers & Chemical,PCS,1.5,1.59,84,308,431,50,32,False,SUP-0040,SUP-0093,2025-01-01T00:00:00
MAT-00076,SKU-PAC-00076,Corrugated Heavy Boxes Grade-A-076,Packaging & Hardware,LITER,60.59,61.74,148,629,1086,50,37,True,SUP-0120,SUP-0115,2025-01-01T00:00:00
MAT-00077,SKU-POL-00077,Silicone Gaskets Grade-MilSpec-077,Polymers & Chemical,LITER,27.0,30.35,550,1660,2785,50,15,False,SUP-0049,SUP-0011,2025-01-01T00:00:00
MAT-00078,SKU-PAC-00078,Antistatic Foam Grade-Commercial-078,Packaging & Hardware,KG,17.66,19.35,79,261,515,250,26,False,SUP-0001,SUP-0097,2025-01-01T00:00:00
MAT-00079,SKU-PAC-00079,Antistatic Foam Grade-B-079,Packaging & Hardware,KG,27.14,28.28,92,263,456,25,9,False,SUP-0025,SUP-0120,2025-01-01T00:00:00
MAT-00080,SKU-MEC-00080,Hydraulic Valves Grade-A-080,Mechanical & Machining,PCS,2.76,2.95,126,368,633,50,22,False,SUP-0087,SUP-0091,2025-01-01T00:00:00
MAT-00081,SKU-PAC-00081,Hex Flange Bolts M8 Grade-A-081,Packaging & Hardware,KG,19.27,20.25,996,3102,6259,100,27,False,SUP-0105,SUP-0118,2025-01-01T00:00:00
MAT-00082,SKU-MEC-00082,Shafts Grade-B-082,Mechanical & Machining,BOX,36.34,38.31,1885,5229,11133,1000,44,False,SUP-0036,SUP-0008,2025-01-01T00:00:00
MAT-00083,SKU-POL-00083,Epoxy Adhesives Grade-MilSpec-083,Polymers & Chemical,PCS,124.67,142.68,989,2933,5064,100,27,False,SUP-0086,SUP-0049,2025-01-01T00:00:00
MAT-00084,SKU-POL-00084,Polycarbonate Sheets Grade-Commercial-084,Polymers & Chemical,LITER,13.87,13.84,475,1303,2410,250,36,False,SUP-0110,SUP-0091,2025-01-01T00:00:00
MAT-00085,SKU-PAC-00085,Thermal Pallet Wraps Grade-B-085,Packaging & Hardware,LITER,10.08,10.07,609,2469,4887,50,30,False,SUP-0083,SUP-0011,2025-01-01T00:00:00
MAT-00086,SKU-ELE-00086,Sensors Grade-MilSpec-086,Electronic Components,BOX,14.13,15.13,429,1613,3428,100,37,True,SUP-0068,,2025-01-01T00:00:00
MAT-00087,SKU-ELE-00087,Capacitors Grade-B-087,Electronic Components,BOX,67.15,65.37,828,2448,4203,50,45,False,SUP-0062,SUP-0118,2025-01-01T00:00:00
MAT-00088,SKU-PAC-00088,Vibration Dampers Grade-Industrial-088,Packaging & Hardware,LITER,35.22,36.74,1123,3112,5516,1000,39,False,SUP-0040,SUP-0034,2025-01-01T00:00:00
MAT-00089,SKU-POL-00089,Silicone Gaskets Grade-B-089,Polymers & Chemical,METER,13.7,13.87,75,236,440,1000,23,True,SUP-0095,SUP-0019,2025-01-01T00:00:00
MAT-00090,SKU-POL-00090,Silicone Gaskets Grade-B-090,Polymers & Chemical,KG,43.15,43.84,1417,4273,8323,100,42,False,SUP-0107,SUP-0032,2025-01-01T00:00:00
MAT-00091,SKU-POL-00091,Industrial Lubricants Grade-MilSpec-091,Polymers & Chemical,KG,27.3,29.94,998,3810,8044,1000,38,False,SUP-0018,SUP-0093,2025-01-01T00:00:00
MAT-00092,SKU-ELE-00092,Connectors Grade-A-092,Electronic Components,PCS,71.2,81.1,472,1327,2103,1000,15,False,SUP-0098,SUP-0001,2025-01-01T00:00:00
MAT-00093,SKU-MEC-00093,CNC Castings Grade-B-093,Mechanical & Machining,SET,11.33,11.8,764,3272,5973,250,38,True,SUP-0120,SUP-0079,2025-01-01T00:00:00
MAT-00094,SKU-ELE-00094,Microcontrollers Grade-Commercial-094,Electronic Components,BOX,17.11,17.19,358,1438,2123,50,18,False,SUP-0003,SUP-0065,2025-01-01T00:00:00
MAT-00095,SKU-MEC-00095,Hydraulic Valves Grade-Commercial-095,Mechanical & Machining,SET,15.94,15.95,264,714,1261,50,30,False,SUP-0102,SUP-0051,2025-01-01T00:00:00
MAT-00096,SKU-MEC-00096,Shafts Grade-A-096,Mechanical & Machining,BOX,4.9,5.63,717,2453,4368,1000,31,False,SUP-0005,SUP-0012,2025-01-01T00:00:00
MAT-00097,SKU-ELE-00097,Capacitors Grade-A-097,Electronic Components,LITER,33.98,38.03,391,1071,1696,1000,40,False,SUP-0043,SUP-0073,2025-01-01T00:00:00
MAT-00098,SKU-PAC-00098,Antistatic Foam Grade-Industrial-098,Packaging & Hardware,PCS,32.69,37.1,1582,4764,7353,100,43,False,SUP-0036,SUP-0116,2025-01-01T00:00:00
MAT-00099,SKU-ELE-00099,Capacitors Grade-Commercial-099,Electronic Components,KG,24.67,27.15,126,490,780,250,26,False,SUP-0051,SUP-0119,2025-01-01T00:00:00
MAT-00100,SKU-PAC-00100,Vibration Dampers Grade-MilSpec-100,Packaging & Hardware,BOX,18.95,18.53,632,2633,4606,25,29,False,SUP-0093,SUP-0011,2025-01-01T00:00:00
MAT-00101,SKU-RAW-00101,Titanium Plates Grade-Commercial-101,Raw Metallurgy,SET,5.17,5.32,610,1975,3327,250,35,False,SUP-0004,SUP-0082,2025-01-01T00:00:00
MAT-00102,SKU-POL-00102,Polycarbonate Sheets Grade-Commercial-102,Polymers & Chemical,BOX,15.45,15.85,128,524,798,1000,11,False,SUP-0038,SUP-0103,2025-01-01T00:00:00
MAT-00103,SKU-MEC-00103,Gears Grade-Industrial-103,Mechanical & Machining,METER,16.83,16.35,172,679,1052,250,13,True,SUP-0004,,2025-01-01T00:00:00
MAT-00104,SKU-PAC-00104,Thermal Pallet Wraps Grade-Commercial-104,Packaging & Hardware,LITER,10.15,9.85,433,1859,3218,25,31,True,SUP-0077,,2025-01-01T00:00:00
MAT-00105,SKU-PAC-00105,Hex Flange Bolts M8 Grade-Commercial-105,Packaging & Hardware,SET,20.54,20.21,462,1494,2167,250,24,False,SUP-0018,SUP-0035,2025-01-01T00:00:00
MAT-00106,SKU-RAW-00106,Copper Rods Grade-Industrial-106,Raw Metallurgy,LITER,38.26,42.34,1484,4544,8026,50,45,False,SUP-0032,SUP-0093,2025-01-01T00:00:00
MAT-00107,SKU-RAW-00107,Aluminum Billets 6061 Grade-MilSpec-107,Raw Metallurgy,METER,195.35,218.46,733,2441,5025,1000,28,False,SUP-0111,SUP-0043,2025-01-01T00:00:00
MAT-00108,SKU-PAC-00108,Hex Flange Bolts M8 Grade-Industrial-108,Packaging & Hardware,METER,29.73,31.83,510,1374,2243,1000,32,False,SUP-0062,SUP-0041,2025-01-01T00:00:00
MAT-00109,SKU-POL-00109,Epoxy Adhesives Grade-B-109,Polymers & Chemical,METER,32.57,33.39,294,1111,2441,50,43,False,SUP-0051,SUP-0047,2025-01-01T00:00:00
MAT-00110,SKU-PAC-00110,Corrugated Heavy Boxes Grade-MilSpec-110,Packaging & Hardware,BOX,22.6,22.42,215,644,973,100,33,False,SUP-0107,SUP-0089,2025-01-01T00:00:00
MAT-00111,SKU-MEC-00111,Shafts Grade-B-111,Mechanical & Machining,BOX,2.97,3.07,1220,4124,7445,1000,44,False,SUP-0058,SUP-0077,2025-01-01T00:00:00
MAT-00112,SKU-POL-00112,Epoxy Adhesives Grade-A-112,Polymers & Chemical,METER,23.83,25.98,103,298,573,100,13,False,SUP-0077,SUP-0082,2025-01-01T00:00:00
MAT-00113,SKU-MEC-00113,Bearings Grade-A-113,Mechanical & Machining,SET,26.21,30.06,530,2128,3147,50,34,False,SUP-0052,SUP-0097,2025-01-01T00:00:00
MAT-00114,SKU-PAC-00114,Thermal Pallet Wraps Grade-Commercial-114,Packaging & Hardware,SET,368.55,400.81,1428,4244,6453,25,44,False,SUP-0048,SUP-0051,2025-01-01T00:00:00
MAT-00115,SKU-POL-00115,ABS Resin Pellets Grade-Industrial-115,Polymers & Chemical,LITER,19.85,22.51,513,1787,3622,500,26,True,SUP-0094,SUP-0019,2025-01-01T00:00:00
MAT-00116,SKU-POL-00116,Silicone Gaskets Grade-MilSpec-116,Polymers & Chemical,PCS,34.18,35.47,210,597,890,100,9,False,SUP-0041,SUP-0009,2025-01-01T00:00:00
MAT-00117,SKU-ELE-00117,Capacitors Grade-B-117,Electronic Components,SET,23.61,23.25,724,2068,3937,50,21,False,SUP-0072,SUP-0055,2025-01-01T00:00:00
MAT-00118,SKU-POL-00118,Industrial Lubricants Grade-A-118,Polymers & Chemical,BOX,6.78,7.27,193,571,893,1000,7,False,SUP-0076,SUP-0055,2025-01-01T00:00:00
MAT-00119,SKU-ELE-00119,Connectors Grade-A-119,Electronic Components,SET,86.24,85.15,661,2105,4023,500,38,False,SUP-0059,SUP-0015,2025-01-01T00:00:00
MAT-00120,SKU-POL-00120,Epoxy Adhesives Grade-MilSpec-120,Polymers & Chemical,SET,56.1,54.58,404,1106,2070,1000,26,False,SUP-0059,SUP-0080,2025-01-01T00:00:00
MAT-00121,SKU-MEC-00121,Shafts Grade-A-121,Mechanical & Machining,KG,58.56,59.21,923,3093,4671,250,31,False,SUP-0089,SUP-0019,2025-01-01T00:00:00
MAT-00122,SKU-POL-00122,Polycarbonate Sheets Grade-MilSpec-122,Polymers & Chemical,BOX,9.02,9.54,577,1869,2826,100,17,False,SUP-0120,SUP-0023,2025-01-01T00:00:00
MAT-00123,SKU-POL-00123,Epoxy Adhesives Grade-A-123,Polymers & Chemical,METER,114.79,130.9,1024,3292,5912,1000,42,False,SUP-0025,SUP-0105,2025-01-01T00:00:00
MAT-00124,SKU-POL-00124,Industrial Lubricants Grade-MilSpec-124,Polymers & Chemical,LITER,5.25,5.16,255,1080,1706,100,25,False,SUP-0102,SUP-0098,2025-01-01T00:00:00
MAT-00125,SKU-MEC-00125,Gears Grade-Commercial-125,Mechanical & Machining,BOX,46.78,51.67,415,1507,2764,100,14,False,SUP-0066,SUP-0015,2025-01-01T00:00:00
MAT-00126,SKU-PAC-00126,Corrugated Heavy Boxes Grade-MilSpec-126,Packaging & Hardware,SET,273.01,271.29,526,1462,2084,100,26,False,SUP-0095,SUP-0107,2025-01-01T00:00:00
MAT-00127,SKU-RAW-00127,Aluminum Billets 6061 Grade-MilSpec-127,Raw Metallurgy,PCS,8.25,9.12,1295,3615,6825,250,29,False,SUP-0104,SUP-0095,2025-01-01T00:00:00
MAT-00128,SKU-MEC-00128,Bearings Grade-B-128,Mechanical & Machining,KG,13.16,14.64,839,2591,3976,1000,24,False,SUP-0073,SUP-0045,2025-01-01T00:00:00
MAT-00129,SKU-RAW-00129,Carbon Steel Bars Grade-Commercial-129,Raw Metallurgy,METER,27.37,31.21,150,405,821,25,15,False,SUP-0116,SUP-0087,2025-01-01T00:00:00
MAT-00130,SKU-RAW-00130,Sheet Metal Stainless 304 Grade-B-130,Raw Metallurgy,KG,14.1,13.81,716,2806,5348,1000,38,False,SUP-0032,SUP-0098,2025-01-01T00:00:00
MAT-00131,SKU-POL-00131,Industrial Lubricants Grade-MilSpec-131,Polymers & Chemical,PCS,4.46,4.8,854,2534,5326,250,24,False,SUP-0012,SUP-0052,2025-01-01T00:00:00
MAT-00132,SKU-POL-00132,Silicone Gaskets Grade-Commercial-132,Polymers & Chemical,PCS,26.45,29.72,1014,2841,5785,250,29,False,SUP-0012,SUP-0094,2025-01-01T00:00:00
MAT-00133,SKU-MEC-00133,Gears Grade-B-133,Mechanical & Machining,LITER,7.63,7.66,549,1719,3074,100,15,False,SUP-0044,SUP-0071,2025-01-01T00:00:00
MAT-00134,SKU-ELE-00134,Microcontrollers Grade-A-134,Electronic Components,BOX,41.3,45.71,382,1257,2757,250,35,False,SUP-0016,SUP-0119,2025-01-01T00:00:00
MAT-00135,SKU-MEC-00135,Hydraulic Valves Grade-Industrial-135,Mechanical & Machining,KG,8.92,10.03,380,1553,2999,1000,23,False,SUP-0012,SUP-0084,2025-01-01T00:00:00
MAT-00136,SKU-MEC-00136,CNC Castings Grade-MilSpec-136,Mechanical & Machining,BOX,134.95,136.45,62,270,480,50,13,False,SUP-0030,SUP-0055,2025-01-01T00:00:00
MAT-00137,SKU-PAC-00137,Hex Flange Bolts M8 Grade-Commercial-137,Packaging & Hardware,BOX,10.36,10.76,392,1277,2021,25,15,True,SUP-0009,,2025-01-01T00:00:00
MAT-00138,SKU-ELE-00138,Microcontrollers Grade-Industrial-138,Electronic Components,METER,17.21,19.38,112,464,858,500,16,False,SUP-0100,SUP-0105,2025-01-01T00:00:00
MAT-00139,SKU-MEC-00139,Gears Grade-Industrial-139,Mechanical & Machining,BOX,60.03,59.59,397,1617,2393,25,20,False,SUP-0118,SUP-0053,2025-01-01T00:00:00
MAT-00140,SKU-PAC-00140,Antistatic Foam Grade-Industrial-140,Packaging & Hardware,LITER,6.33,6.41,153,483,908,500,22,False,SUP-0036,SUP-0083,2025-01-01T00:00:00
MAT-00141,SKU-RAW-00141,Aluminum Billets 6061 Grade-Industrial-141,Raw Metallurgy,KG,31.51,33.2,224,644,1310,50,10,False,SUP-0096,SUP-0051,2025-01-01T00:00:00
MAT-00142,SKU-POL-00142,Industrial Lubricants Grade-A-142,Polymers & Chemical,KG,103.32,108.48,104,284,427,500,30,False,SUP-0068,SUP-0114,2025-01-01T00:00:00
